id,product_name,price(vnd),original_price,discount,discount_rate(%),review_count,rating_average,quantity_sold,brand_name,origin,subcategory_name,category_name
4048043,Điện Thoại Bàn Panasonic KX-TS500,329000,359000,30000,8,25,4.5,314.0,Panasonic,,dien-thoai-ban,Điện thoại
4048581,Điện Thoại Bàn Panasonic KX-TSC11,689000,689000,0,0,9,4.5,65.0,Panasonic,,dien-thoai-ban,Điện thoại
11251711,Điện thoại bàn không dây Panasonic KX-TGD312 - Hàng Chính Hãng,1920000,1920000,0,0,4,4.8,9.0,Panasonic,Việt Nam,dien-thoai-ban,Điện thoại
11251735,Điện thoại bàn không dây Panasonic KX-TGC312 - Hàng chính hãng,1750000,1750000,0,0,1,5.0,11.0,Panasonic,,dien-thoai-ban,Điện thoại
11251743,Điện thoại bàn không dây Panasonic KX-TGB112 - Hàng Chính Hãng,1260000,1260000,0,0,4,5.0,24.0,Panasonic,,dien-thoai-ban,Điện thoại
11251770,Điện thoại bàn không dây Panasonic KX-TGD310 - Hàng Chính Hãng,1350000,1350000,0,0,4,4.5,21.0,Panasonic,,dien-thoai-ban,Điện thoại
11251935,Điện thoại kéo dài Panasonic KX-TGC210 - Hàng chính hãng,1150000,1150000,0,0,1,4.0,10.0,Panasonic,,dien-thoai-ban,Điện thoại
11251951,Điện thoại bàn không dây Panasonic KX-TGB110-Hàng Chính Hãng,830000,830000,0,0,27,4.1,124.0,Panasonic,China,dien-thoai-ban,Điện thoại
11376644,Điện thoại bàn có dây Panasonic KX-TS560MX,730000,730000,0,0,1,5.0,14.0,Panasonic,,dien-thoai-ban,Điện thoại
11415485,ĐIỆN THOẠI CỐ ĐỊNH PANASONIC KX-TS580MX,940000,940000,0,0,5,4.8,29.0,Panasonic,,dien-thoai-ban,Điện thoại
11802138,Điện thoại bàn Không Dây Lắp Sim Homephone Hp1002c,1299000,1299000,0,0,12,3.8,98.0,HP,,dien-thoai-ban,Điện thoại
21317020,Điện thoại bàn không dây Panasonic KX-TGF310 - Hàng Chính Hãng,2290000,2290000,0,0,11,5.0,23.0,Panasonic,Malaysia,dien-thoai-ban,Điện thoại
21465183,Điện thoại không dây Panasonic KX-TGC212 - Hàng Chính Hãng,1700000,1700000,0,0,3,5.0,14.0,Panasonic,,dien-thoai-ban,Điện thoại
23142193,Điện thoại bàn không dây Panasonic KX-TGC313 - Hàng Chính Hãng,2250000,2250000,0,0,5,4.8,17.0,Panasonic,,dien-thoai-ban,Điện thoại
23865953,Điện Thoại Để Bàn Panasonic KX-TS500MX - Hàng Chính Hãng,380000,380000,0,0,0,0.0,15.0,Panasonic,Nhật Bản,dien-thoai-ban,Điện thoại
25949745,Máy Đọc Sách Kindle Oasis (10th Gen) 2019- 8GB - Hàng Chính Hãng,6200000,6200000,0,0,1,5.0,3.0,Kindle,Mỹ,may-doc-sach,Máy tính bảng
29440849,điện thoại  IP622C - hàng chính hãng,1650000,1650000,0,0,0,0.0,0.0,,,dien-thoai-ban,Điện thoại
40639597,Máy Đọc Sách Kindle Paperwhite Gen 10 - Hàng Nhập Khẩu,2750000,2750000,0,0,56,5.0,198.0,Kindle,Trung Quốc,may-doc-sach,Máy tính bảng
43924153,Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu,6700000,6700000,0,0,1,5.0,8.0,Kindle,Mỹ,may-doc-sach,Máy tính bảng
53380152,Điện Thoại IP Phone Fanvil X1S - Hàng Chính Hãng,950000,950000,0,0,0,0.0,0.0,,,dien-thoai-ban,Điện thoại
67982880,LapTop Lenovo V14 IIL - 82C400W3VN | Intel Core i5 _ 1035G1 | 4GB | 256GB SSD PCIe | VGA INTEL  | 14 inch HD | FreeDos | Hàng Chính Hãng,9850000,9850000,0,0,3,4.7,5.0,Lenovo,Trung Quốc,laptop-truyen-thong,Laptop
72310352,Máy tính bảng Vankyo MatrixPad Z10 - Hàng Chính Hãng,2990000,2990000,0,0,8,4.6,13.0,Vankyo,Trung Quốc,may-tinh-bang,Máy tính bảng
72310420,Máy tính bảng VANKYO MatrixPad S30 - Hàng Chính Hãng,3090000,3090000,0,0,4,3.8,11.0,Vankyo,Trung Quốc,may-tinh-bang,Máy tính bảng
72864540,"Hyperdrive Gen2 12-In-1 For Macbook, Ipad Pro 2018-2020, PC & Devices (G212)-chính hãng",2700000,2700000,0,0,0,0.0,2.0,Hyper,Mỹ,laptop-2-trong-1,Laptop
77117709,Laptop Lenovo Ideapad Slim 5 15ITL05 (82FG001PVN). Intel Core I5 1135G7 - Hàng Chính hãng,17160000,17160000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
91281318,Máy Đọc Sách Likebook P10 - Hàng chính hãng,9090000,9090000,0,0,2,4.0,6.0,Likebook,Trung Quốc,may-doc-sach,Máy tính bảng
92621088,Laptop LG Gram 2021 17Z90P-G.AH76A5 (Core i7-1165G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 17 WQXGA IPS/ Win10) - Hàng Chính Hãng,32640000,32640000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
92621126,Laptop LG Gram 2021 17Z90P-G.AH78A5 (Core i7-1165G7/ 16GB LPDDR4X/ 1TB SSD NVMe/ 17 WQXGA IPS/ Win10) - Hàng Chính Hãng,33840000,33840000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
94453667,Điện thoại VoIP Yealink SIP-T30,1050000,1050000,0,0,0,0.0,0.0,,,dien-thoai-ban,Điện thoại
102620086,Điện thoại VoIP Yealink SIP-T30 - Hàng Chính Hãng,1200000,1200000,0,0,0,0.0,0.0,,,dien-thoai-ban,Điện thoại
106318753,Máy tính xách tay Laptop Dell Latitude 3420 (Intel Core i5-1135G7 | 14 Inch | RAM 8GB | 256GB SSD NVMe | Intel Iris Xe Graphics | Fedora Os) - Hàng chính hãng,14999085,19900000,4900915,25,2,5.0,3.0,Dell,Trung Quốc,laptop-truyen-thong,Laptop
108924121,Laptop Dell Latitude 3520 70251603 (Core i3-1115G4/ 4 GB/ 256GB SSD/ 15.6HD/ Fedora) - Hàng Chính Hãng,10000000,10000000,0,0,3,5.0,5.0,Dell,Trung Quốc,laptop-truyen-thong,Laptop
